URL,Abstract
https://pubmed.ncbi.nlm.nih.gov/34864777/,"Background:Uncompensated vestibular hypofunction can result in symptoms of dizziness, imbalance, and/or oscillopsia, gaze and gait instability, and impaired navigation and spatial orientation; thus, may negatively impact an individual's quality of life, ability to perform activities of daily living, drive, and work. It is estimated that one-third of adults in the United States have vestibular dysfunction and the incidence increases with age. There is strong evidence supporting vestibular physical therapy for reducing symptoms, improving gaze and postural stability, and improving function in individuals with vestibular hypofunction. The purpose of this revised clinical practice guideline is to improve quality of care and outcomes for individuals with acute, subacute, and chronic unilateral and bilateral vestibular hypofunction by providing evidence-based recommendations regarding appropriate exercises.

Methods:These guidelines are a revision of the 2016 guidelines and involved a systematic review of the literature published since 2015 through June 2020 across 6 databases. Article types included meta-analyses, systematic reviews, randomized controlled trials, cohort studies, case-control series, and case series for human subjects, published in English. Sixty-seven articles were identified as relevant to this clinical practice guideline and critically appraised for level of evidence.

Results:Based on strong evidence, clinicians should offer vestibular rehabilitation to adults with unilateral and bilateral vestibular hypofunction who present with impairments, activity limitations, and participation restrictions related to the vestibular deficit. Based on strong evidence and a preponderance of harm over benefit, clinicians should not include voluntary saccadic or smooth-pursuit eye movements in isolation (ie, without head movement) to promote gaze stability. Based on moderate to strong evidence, clinicians may offer specific exercise techniques to target identified activity limitations and participation restrictions, including virtual reality or augmented sensory feedback. Based on strong evidence and in consideration of patient preference, clinicians should offer supervised vestibular rehabilitation. Based on moderate to weak evidence, clinicians may prescribe weekly clinic visits plus a home exercise program of gaze stabilization exercises consisting of a minimum of: (1) 3 times per day for a total of at least 12 minutes daily for individuals with acute/subacute unilateral vestibular hypofunction; (2) 3 to 5 times per day for a total of at least 20 minutes daily for 4 to 6 weeks for individuals with chronic unilateral vestibular hypofunction; (3) 3 to 5 times per day for a total of 20 to 40 minutes daily for approximately 5 to 7 weeks for individuals with bilateral vestibular hypofunction. Based on moderate evidence, clinicians may prescribe static and dynamic balance exercises for a minimum of 20 minutes daily for at least 4 to 6 weeks for individuals with chronic unilateral vestibular hypofunction and, based on expert opinion, for a minimum of 6 to 9 weeks for individuals with bilateral vestibular hypofunction. Based on moderate evidence, clinicians may use achievement of primary goals, resolution of symptoms, normalized balance and vestibular function, or plateau in progress as reasons for stopping therapy. Based on moderate to strong evidence, clinicians may evaluate factors, including time from onset of symptoms, comorbidities, cognitive function, and use of medication that could modify rehabilitation outcomes.

Discussion:Recent evidence supports the original recommendations from the 2016 guidelines. There is strong evidence that vestibular physical therapy provides a clear and substantial benefit to individuals with unilateral and bilateral vestibular hypofunction.

Limitations:The focus of the guideline was on peripheral vestibular hypofunction; thus, the recommendations of the guideline may not apply to individuals with central vestibular disorders. One criterion for study inclusion was that vestibular hypofunction was determined based on objective vestibular function tests. This guideline may not apply to individuals who report symptoms of dizziness, imbalance, and/or oscillopsia without a diagnosis of vestibular hypofunction.

Disclaimer:These recommendations are intended as a guide to optimize rehabilitation outcomes for individuals undergoing vestibular physical therapy. The contents of this guideline were developed with support from the American Physical Therapy Association and the Academy of Neurologic Physical Therapy using a rigorous review process. The authors declared no conflict of interest and maintained editorial independence.Video Abstract available for more insights from the authors (see the Video, Supplemental Digital Content 1, available at: http://links.lww.com/JNPT/A369)."
https://pubmed.ncbi.nlm.nih.gov/30947180/,"Vestibular rehabilitation is an exercise-based program that has been in existence for over 70 years. A growing body of evidence supports the use of vestibular rehabilitation in patients with vestibular disorders, and evolving research has led to more efficacious interventions. Through central compensation, vestibular rehabilitation is able to improve symptoms of imbalance, falls, fear of falling, oscillopsia, dizziness, vertigo, motion sensitivity and secondary symptoms such as nausea and anxiety. Early intervention is advised for falls prevention and symptom management; however, symptomatic patients with chronic vestibular disorders may still demonstrate benefit from a course of vestibular rehabilitation. Recent advances in balance and gait training, gaze stability training, habituation training, use of virtual reality, biofeedback, and vestibular prostheses are discussed in this chapter in the context of unilateral and bilateral vestibular disorders."
https://pubmed.ncbi.nlm.nih.gov/33867417/,"Pathophysiology of vertigo/dizziness can be understood by eye deviation (nystagmus). In benign paroxysmal positional vertigo, eye deviation of causative semicircular canal stimulation is directly observed. In other peripheral vestibular disorders, eye deviation results from the sum of unilateral all semicircular canal disorders. The central vestibular pathway is controlled by the cerebellum. Thus, in vertigo/dizziness of central origin, not only eye deviation due to impairment of the central vestibular pathway but also deviation due to disinhibition of the pathway from the cerebellum is observed. The cerebellar control on the central vestibular pathway also plays an important role in vestibular compensation. When treating vertigo/dizziness, it is necessary to understand the pathophysiology of the vertigo/dizziness, to set the treatment target based on the pathophysiology, and to intervene for the target."
https://pubmed.ncbi.nlm.nih.gov/31994145/,"The acute vestibular syndrome (AVS) is a label for presentations of new-onset severe dizziness, vertigo, or imbalance, with examination findings of nystagmus or gait unsteadiness. The prototypical AVS presentation is the acute unilateral vestibulopathy due to vestibular neuritis. Stroke is also a serious concern in patients with AVS. Most other peripheral vestibular disorders present as episodic or chronic syndromes. In this article, the diagnostic considerations, exam findings, and management of AVS are reviewed."
https://pubmed.ncbi.nlm.nih.gov/35723133/,"This paper describes the diagnostic criteria for Acute Unilateral Vestibulopathy (AUVP), a synonym for vestibular neuritis, as defined by the Committee for the Classification of Vestibular Disorders of the Bárány Society. AUVP manifests as an acute vestibular syndrome due to an acute unilateral loss of peripheral vestibular function without evidence for acute central or acute audiological symptoms or signs. This implies that the diagnosis of AUVP is based on the patient history, bedside examination, and, if necessary, laboratory evaluation. The leading symptom is an acute or rarely subacute onset of spinning or non-spinning vertigo with unsteadiness, nausea/vomiting and/or oscillopsia. A leading clinical sign is a spontaneous peripheral vestibular nystagmus, which is direction-fixed and enhanced by removal of visual fixation with a trajectory appropriate to the semicircular canal afferents involved (generally horizontal-torsional). The diagnostic criteria were classified by the committee for four categories: 1. ""Acute Unilateral Vestibulopathy"", 2. ""Acute Unilateral Vestibulopathy in Evolution"", 3. ""Probable Acute Unilateral Vestibulopathy"" and 4. ""History of Acute Unilateral Vestibulopathy"". The specific diagnostic criteria for these are as follows:""Acute Unilateral Vestibulopathy"": A) Acute or subacute onset of sustained spinning or non-spinning vertigo (i.e., an acute vestibular syndrome) of moderate to severe intensity with symptoms lasting for at least 24 hours. B) Spontaneous peripheral vestibular nystagmus with a trajectory appropriate to the semicircular canal afferents involved, generally horizontal-torsional, direction-fixed, and enhanced by removal of visual fixation. C) Unambiguous evidence of reduced VOR function on the side opposite the direction of the fast phase of the spontaneous nystagmus. D) No evidence for acute central neurological, otological or audiological symptoms. E) No acute central neurological signs, namely no central ocular motor or central vestibular signs, in particular no pronounced skew deviation, no gaze-evoked nystagmus, and no acute audiologic or otological signs. F) Not better accounted for by another disease or disorder.""Acute Unilateral Vestibulopathy in Evolution"": A) Acute or subacute onset of sustained spinning or non-spinning vertigo with continuous symptoms for more than 3 hours, but not yet lasting for at least 24 h hours, when patient is seen; B) - F) as above. This category is useful for diagnostic reasons to differentiate from acute central vestibular syndromes, to initiate specific treatments, and for research to include patients in clinical studies.""Probable Acute Unilateral Vestibulopathy"": Identical to AUVP except that the unilateral VOR deficit is not clearly observed or documented.""History of acute unilateral vestibulopathy"": A) History of acute or subacute onset of vertigo lasting at least 24 hours and slowly decreasing in intensity. B) No history of simultaneous acute audiological or central neurological symptoms. C) Unambiguous evidence of unilaterally reduced VOR function. D) No history of simultaneous acute central neurological signs, namely no central ocular motor or central vestibular signs and no acute audiological or otological signs. E) Not better accounted for by another disease or disorder. This category allows a diagnosis in patients presenting with a unilateral peripheral vestibular deficit and a history of an acute vestibular syndrome who are examined well after the acute phase.It is important to note that there is no definite test for AUVP. Therefore, its diagnosis requires the exclusion of central lesions as well as a variety of other peripheral vestibular disorders. Finally, this consensus paper will discuss other aspects of AUVP such as etiology, pathophysiology and laboratory examinations if they are directly relevant to the classification criteria."
https://pubmed.ncbi.nlm.nih.gov/35138954/,"Objective:Insertion of tympanostomy tubes is the most common ambulatory surgery performed on children in the United States. Tympanostomy tubes are most often inserted because of persistent middle ear fluid, frequent ear infections, or ear infections that persist after antibiotic therapy. All these conditions are encompassed by the termotitis media(middle ear inflammation). This guideline update provides evidence-based recommendations for patient selection and surgical indications for managing tympanostomy tubes in children. The guideline is intended for any clinician involved in managing children aged 6 months to 12 years with tympanostomy tubes or children being considered for tympanostomy tubes in any care setting as an intervention for otitis media of any type. The target audience includes specialists, primary care clinicians, and allied health professionals.

Purpose:The purpose of this clinical practice guideline update is to reassess and update recommendations in the prior guideline from 2013 and to provide clinicians with trustworthy, evidence-based recommendations on patient selection and surgical indications for managing tympanostomy tubes in children. In planning the content of the updated guideline, the guideline update group (GUG) affirmed and included all the original key action statements (KASs), based on external review and GUG assessment of the original recommendations. The guideline update was supplemented with new research evidence and expanded profiles that addressed quality improvement and implementation issues. The group also discussed and prioritized the need for new recommendations based on gaps in the initial guideline or new evidence that would warrant and support KASs. The GUG further sought to bring greater coherence to the guideline recommendations by displaying relationships in a new flowchart to facilitate clinical decision making. Last, knowledge gaps were identified to guide future research.

Methods:In developing this update, the methods outlined in the American Academy of Otolaryngology-Head and Neck Surgery Foundation's ""Clinical Practice Guideline Development Manual, Third Edition: A Quality-Driven Approach for Translating Evidence Into Action"" were followed explicitly. The GUG was convened with representation from the disciplines of otolaryngology-head and neck surgery, otology, pediatrics, audiology, anesthesiology, family medicine, advanced practice nursing, speech-language pathology, and consumer advocacy.

Action statements:The GUG madestrong recommendationsfor the following KASs: (14) clinicians should prescribe topical antibiotic ear drops only, without oral antibiotics, for children with uncomplicated acute tympanostomy tube otorrhea; (16) the surgeon or designee should examine the ears of a child within 3 months of tympanostomy tube insertion AND should educate families regarding the need for routine, periodic follow-up to examine the ears until the tubes extrude.The GUG maderecommendationsfor the following KASs: (1) clinicians should not perform tympanostomy tube insertion in children with a single episode of otitis media with effusion (OME) of less than 3 months' duration, from the date of onset (if known) or from the date of diagnosis (if onset is unknown); (2) clinicians should obtain a hearing evaluation if OME persists for 3 months or longer OR prior to surgery when a child becomes a candidate for tympanostomy tube insertion; (3) clinicians should offer bilateral tympanostomy tube insertion to children with bilateral OME for 3 months or longer AND documented hearing difficulties; (5) clinicians should reevaluate, at 3- to 6-month intervals, children with chronic OME who do not receive tympanostomy tubes, until the effusion is no longer present, significant hearing loss is detected, or structural abnormalities of the tympanic membrane or middle ear are suspected; (6) clinicians should not perform tympanostomy tube insertion in children with recurrent acute otitis media who do not have middle ear effusion in either ear at the time of assessment for tube candidacy; (7) clinicians should offer bilateral tympanostomy tube insertion in children with recurrent acute otitis media who have unilateral or bilateral middle ear effusion at the time of assessment for tube candidacy; (8) clinicians should determine if a child with recurrent acute otitis media or with OME of any duration is at increased risk for speech, language, or learning problems from otitis media because of baseline sensory, physical, cognitive, or behavioral factors; (10) the clinician should not place long-term tubes as initial surgery for children who meet criteria for tube insertion unless there is a specific reason based on an anticipated need for prolonged middle ear ventilation beyond that of a short-term tube; (12) in the perioperative period, clinicians should educate caregivers of children with tympanostomy tubes regarding the expected duration of tube function, recommended follow-up schedule, and detection of complications; (13) clinicians should not routinely prescribe postoperative antibiotic ear drops after tympanostomy tube placement; (15) clinicians should not encourage routine, prophylactic water precautions (use of earplugs or headbands, avoidance of swimming or water sports) for children with tympanostomy tubes.The GUG offered the following KASs asoptions: (4) clinicians may perform tympanostomy tube insertion in children with unilateral or bilateral OME for 3 months or longer (chronic OME) AND symptoms that are likely attributable, all or in part, to OME that include, but are not limited to, balance (vestibular) problems, poor school performance, behavioral problems, ear discomfort, or reduced quality of life; (9) clinicians may perform tympanostomy tube insertion in at-risk children with unilateral or bilateral OME that is likely to persist as reflected by a type B (flat) tympanogram or a documented effusion for 3 months or longer; (11) clinicians may perform adenoidectomy as an adjunct to tympanostomy tube insertion for children with symptoms directly related to the adenoids (adenoid infection or nasal obstruction) OR in children aged 4 years or older to potentially reduce future incidence of recurrent otitis media or the need for repeat tube insertion."
https://pubmed.ncbi.nlm.nih.gov/31326945/,"Four vestibular presentations caused by six different disorders constitute most of the neuro-otology cases seen in clinical practice. 'Acute vestibular syndrome' refers to a first-ever attack of acute, spontaneous, isolated vertigo and there are two common causes: vestibular neuritis / labyrinthitis and cerebellar infarction. Recurrent positional vertigo is most often caused by benign paroxysmal positional vertigo and less commonly is central in origin. Recurrent spontaneous vertigo has two common causes: Ménière's disease and vestibular migraine. Lastly, chronic vestibular insufficiency (imbalance) results from bilateral, or severe unilateral, peripheral vestibular impairment. These six disorders can often be diagnosed on the basis of history, examination, audiometry, and in some cases, basic vestibular function testing. Here we show that most common neuro-otological problems can be readily managed by general neurologists."
https://pubmed.ncbi.nlm.nih.gov/34784642/,"Nystagmus is defined as rhythmic, most often involuntary eye movements. It normally consists of a slow (pathological) drift of the eyes, followed by a fast central compensatory movement back to the primary position (refixation saccade). The direction, however, is reported according to the fast phase. The cardinal symptoms are, on the one hand, blurred vision, jumping images (oscillopsia), reduced visual acuity and, sometimes, double vision; many of these symptoms depend on the eye position. On the other hand, depending on the etiology, patients may suffer from the following symptoms: 1. permanent dizziness, postural imbalance, and gait disorder (typical of downbeat and upbeat nystagmus); 2. if the onset of symptoms is acute, the patient may experience spinning vertigo with a tendency to fall to one side (due to ischemia in the area of the brainstem or cerebellum with central fixation nystagmus or as acute unilateral vestibulopathy with spontaneous peripheral vestibular nystagmus); or 3. positional vertigo. There are two major categories: the first is spontaneous nystagmus, i.e., nystagmus which occurs in the primary position as upbeat or downbeat nystagmus; and the second includes various types of nystagmus which are induced or modified by certain factors. Examples are gaze-evoked nystagmus, head-shaking nystagmus, positional nystagmus, and hyperventilation-induced nystagmus. In addition, there are disorders similar to nystagmus, such as ocular flutter or opsoclonus. The most common central types of spontaneous nystagmus are downbeat and upbeat, infantile, pure torsional, pendular fixation, periodic alternating, and seesaw nystagmus. Many types of nystagmus allow a precise neuroanatomical localization: for instance, downbeat nystagmus, which is most often caused by a bilateral floccular lesion or dysfunction, or upbeat nystagmus, which is caused by a lesion in the midbrain or medulla. Examples of drug treatment are the use of 4-aminopyridine for downbeat and upbeat nystagmus, memantine or gabapentin for pendular fixation nystagmus, or baclofen for periodic alternating nystagmus. In this article we are focusing on nystagmus. In a second article we will focus on central ocular motor disorders, such as saccade or gaze palsy, internuclear ophthalmoplegia, and gaze-holding deficits. Therefore, these types of eye movements will not be described here in detail."
https://pubmed.ncbi.nlm.nih.gov/33249404/,"Menière's disease causes paroxysmal rotatory vertigo, due to endolymphatic hydrops, an accumulation of endolymph in the endolymphatic space of the labyrinth. Its major symptoms are attacks of rotatory vertigo lasting minutes to hours, with unilateral hearing loss, tinnitus and aural fullness. As the disease progresses, attacks happen less often, but hearing loss and tinnitus gradually become permanent. Neuro-otological complications may develop, such as benign paroxysmal positional vertigo, vestibular drop attacks and bilateral vestibulopathy. The diagnosis of Menière's disease is based on the typical clinical picture and typical findings on the audiogram. Furthermore, it is now possible to diagnose it by MR of the inner ear. Long-term management has several steps, including diet, diuretics, intratympanic injection of corticosteroid or gentamicin and surgery (endolymphatic sac surgery, grommet insertion, surgical labyrinthectomy)."
https://pubmed.ncbi.nlm.nih.gov/26913496/,"Background:Uncompensated vestibular hypofunction results in postural instability, visual blurring with head movement, and subjective complaints of dizziness and/or imbalance. We sought to answer the question, ""Is vestibular exercise effective at enhancing recovery of function in people with peripheral (unilateral or bilateral) vestibular hypofunction?""

Methods:A systematic review of the literature was performed in 5 databases published after 1985 and 5 additional sources for relevant publications were searched. Article types included meta-analyses, systematic reviews, randomized controlled trials, cohort studies, case control series, and case series for human subjects, published in English. One hundred thirty-five articles were identified as relevant to this clinical practice guideline.

Results/discussion:Based on strong evidence and a preponderance of benefit over harm, clinicians should offer vestibular rehabilitation to persons with unilateral and bilateral vestibular hypofunction with impairments and functional limitations related to the vestibular deficit. Based on strong evidence and a preponderance of harm over benefit, clinicians should not include voluntary saccadic or smooth-pursuit eye movements in isolation (ie, without head movement) as specific exercises for gaze stability. Based on moderate evidence, clinicians may offer specific exercise techniques to target identified impairments or functional limitations. Based on moderate evidence and in consideration of patient preference, clinicians may provide supervised vestibular rehabilitation. Based on expert opinion extrapolated from the evidence, clinicians may prescribe a minimum of 3 times per day for the performance of gaze stability exercises as 1 component of a home exercise program. Based on expert opinion extrapolated from the evidence (range of supervised visits: 2-38 weeks, mean = 10 weeks), clinicians may consider providing adequate supervised vestibular rehabilitation sessions for the patient to understand the goals of the program and how to manage and progress themselves independently. As a general guide, persons without significant comorbidities that affect mobility and with acute or subacute unilateral vestibular hypofunction may need once a week supervised sessions for 2 to 3 weeks; persons with chronic unilateral vestibular hypofunction may need once a week sessions for 4 to 6 weeks; and persons with bilateral vestibular hypofunction may need once a week sessions for 8 to 12 weeks. In addition to supervised sessions, patients are provided a daily home exercise program.

Disclaimer:These recommendations are intended as a guide for physical therapists and clinicians to optimize rehabilitation outcomes for persons with peripheral vestibular hypofunction undergoing vestibular rehabilitation.Video Abstract available for more insights from the author (see Video, Supplemental Digital Content 1, http://links.lww.com/JNPT/A124)."
